compound_id,smiles,salt,polymer,monomeric_unit
75,C[B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)C,0,1,[Cu][B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[Au]
76,CCCOS(=O)OC,0,1,[Cu]CCOS(=O)O[Au]
77,COS(=O)OCCCCC,0,1,[Cu]OS(=O)OCCCC[Au]
78,COC(=O)CCC,0,1,[Cu]OC(=O)CC[Au]
79,COCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCCC,0,1,[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au]
80,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
81,[S-]C#N.[Li+],1,0,
82,CCCOCCOS(=O)OC,0,1,[Cu]CCOCCOS(=O)O[Au]
83,C[N+](CC)(C)CC.O=S([N-]S(=O)(F)=O)(F)=O,1,0,
84,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1c(F)c(F)c(F)c(F)c1F.[Li+],1,0,
85,C[Si](C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0,1,[Cu][Si](C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCO[Au]
86,O=S(=O)([B-](F)(F)S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],1,0,
87,CCC(C#N)C,0,1,[Cu]CC(C#N)[Au]
88,CCC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]CC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
89,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(COCC=C)CC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(COCC=C)C[Au]
90,COC(C1=O)=C(C1=O)OC1=CC=C(C=C1)C,0,1,[Cu]OC(C1=O)=C(C1=O)OC1=CC=C(C=C1)[Au]
91,C[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)OC,0,1,[Cu][Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Au]
92,[Li+].c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,1,0,
93,C(COCCOCCOCCO)O,0,0,
94,COC(=O)OCCOCCOCCOCCC,0,1,[Cu]OC(=O)OCCOCCOCCOCC[Au]
95,CCC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)C,0,1,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au]
96,C[Al-](OCCOCCOCCOC)(OCCOCCOCCOC)SCCOCCSC,0,1,[Cu][Al-](OCCOCCOCCOC)(OCCOCCOCCOC)SCCOCCS[Au]
97,C[P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCOCCOCCOCC[Au]
98,C[Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCC,0,1,[Cu][Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCC[Au]
99,[H][C@]12OC[C@@H](O)[C@@]1([H])OC[C@@H]2O,0,0,
100,C[Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCOCCC,0,1,[Cu][Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCOCCOCC[Au]
101,CCOCC,0,0,
102,CCCOCCOCCOCCOCCOCCC,0,1,[Cu]CCOCCOCCOCCOCCOCC[Au]
103,ClCCl,0,0,
104,CS(CCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C)CC(=O)OCC(COC(=O)CSCCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C)(COC(=O)CSCCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C)COC(=O)CSCCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2CC,0,1,[Cu]S(CCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C)CC(=O)OCC(COC(=O)CSCCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C)(COC(=O)CSCCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C)COC(=O)CSCCC1C(=O)O[B-](OC1=O)(OC2(=O))OC(=O)C2C[Au]
105,C[P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCC,0,1,[Cu][P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCC[Au]
106,O=S(=O)([N-]S(=O)(=O)C(C(F)(F)F)C(F)(F)F)C(C(F)(F)F)C(F)(F)F.[Li+],1,0,
107,CC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C,0,1,[Cu]C(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)[Au]
108,[H][C@]12OC[C@H](OC)[C@@]1([H])OC[C@H]2OC,0,0,
109,CC(OCCOCCOCCOCCOC)CC,0,1,[Cu]C(OCCOCCOCCOCCOC)C[Au]
110,CC(=O)CCCCC(=O)OCCOC,0,1,[Cu]C(=O)CCCCC(=O)OCCO[Au]
111,COC(=O)OCCOCCC,0,1,[Cu]OC(=O)OCCOCC[Au]
112,CCCCCCCOCCOCCOCCOCCC,0,1,[Cu]CCCCCCOCCOCCOCCOCC[Au]
113,[O-][N+]([O-])=O.[Li+],1,0,
114,CC(COCCCSCCOCCOC)OCC,0,1,[Cu]C(COCCCSCCOCCOC)OC[Au]
115,COCCOC(=O)CCC(=O)C,0,1,[Cu]OCCOC(=O)CCC(=O)[Au]
116,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],1,0,
117,CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,0,0,
118,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O[Au]
119,COCC(CC)(C(NC(COCCC#N)(COCCC#N)COCCC#N)=O)CC,0,1,[Cu]OCC(CC)(C(NC(COCCC#N)(COCCC#N)COCCC#N)=O)C[Au]
120,COCC(CC)(COCCC#N)CC,0,1,[Cu]OCC(CC)(COCCC#N)C[Au]
121,COCCOCCOCCOCC1=CC=C(COCCOCCOCCOC)C=C1,0,0,
122,CC(OCCOCCOCCOCCOCCOC)CC,0,1,[Cu]C(OCCOCCOCCOCCOCCOC)C[Au]
123,CC1CCCO1,0,0,
124,CCC(C(=O)OCCOCCOC)C,0,1,[Cu]CC(C(=O)OCCOCCOC)[Au]
125,N#C[C-](C#N)S(=O)(=O)C(F)(F)F.[Li+],1,0,
126,COCCOCCOCCOCC1=CN(CCOCCOCCOCCOC)N=N1,0,0,
127,C[B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
128,CCC(C)(C(=O)OC)C,0,1,[Cu]CC(C)(C(=O)OC)[Au]
129,COCCOCCOCCOCCOCCOCCOCCOC(COCC=C)CC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOC(COCC=C)C[Au]
130,O=C(OCCOCCOCCOC)OCCOCCOCCOC,0,0,
131,N#C[C-](C#N)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],1,0,
132,COCCOCCOCCOCC1COB(B2OCC(O2)COCCOCCOCCOC)O1,0,0,
133,C[B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
134,CSCCSCCOCCCCOCC,0,1,[Cu]SCCSCCOCCCCOC[Au]
135,COC(=O)OCCCCCC,0,1,[Cu]OC(=O)OCCCCC[Au]
136,C[B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
137,CSCCCCSCCOCCCCOCC,0,1,[Cu]SCCCCSCCOCCCCOC[Au]
138,C[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)OC,0,1,[Cu][Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Au]
