cmp1_mn_or_mw,cmp2_mn_or_mw,cmp3_mn_or_mw,cmp4_mn_or_mw,value,property,unit,"Temperature, K",cmp_ids,cmp_mole_fractions,cmp_mws
600000.0,5990.712263,,,-9.144951,log Conductivity,S/cm,302.57341716999997,"[336.0, 283.0]","[0.933333333, 0.066666667]","[44.02238095, 106.9770047]"
600000.0,71400.0,,,-5.275,log Conductivity,S/cm,403.3098836,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.31875,log Conductivity,S/cm,392.86617879999994,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.351562,log Conductivity,S/cm,383.23426729999994,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.49375,log Conductivity,S/cm,372.98137815999996,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.526562,log Conductivity,S/cm,363.00723909,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.614062,log Conductivity,S/cm,353.55265619,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.778125,log Conductivity,S/cm,343.20246337,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.865625,log Conductivity,S/cm,332.7956465,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-6.992188,log Conductivity,S/cm,322.79931567,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.41875,log Conductivity,S/cm,312.4369268,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.801562,log Conductivity,S/cm,302.54156088999997,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-8.11875,log Conductivity,S/cm,292.7544446,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-8.55625,log Conductivity,S/cm,282.64843848,"[336.0, 20.0]","[0.8, 0.2]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.023438,log Conductivity,S/cm,403.3098836,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.121875,log Conductivity,S/cm,393.7658983,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.154687,log Conductivity,S/cm,383.23426729999994,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.253125,log Conductivity,S/cm,373.52164799999997,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.31875,log Conductivity,S/cm,363.26292933999997,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.439062,log Conductivity,S/cm,353.31044823999997,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.548437,log Conductivity,S/cm,342.29155984,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.657813,log Conductivity,S/cm,332.58114564,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-6.817188,log Conductivity,S/cm,322.79931567,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.145312,log Conductivity,S/cm,312.62622283999997,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.571875,log Conductivity,S/cm,302.7190528,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.976562,log Conductivity,S/cm,292.92072129999997,"[336.0, 20.0]","[0.857142857, 0.142857143]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.28972,log Conductivity,S/cm,403.3098836,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.38785,log Conductivity,S/cm,394.066773,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.420561,log Conductivity,S/cm,383.5192571,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.496885,log Conductivity,S/cm,373.52164799999997,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.573209,log Conductivity,S/cm,364.03203335999996,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.682243,log Conductivity,S/cm,352.82715104,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.758567,log Conductivity,S/cm,343.88888812,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.845794,log Conductivity,S/cm,333.44103479,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-6.663551,log Conductivity,S/cm,323.00148484,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.208723,log Conductivity,S/cm,313.00569982999997,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.579439,log Conductivity,S/cm,302.89684483999997,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.895639,log Conductivity,S/cm,292.7544446,"[336.0, 20.0]","[0.888888889, 0.111111111]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.366044,log Conductivity,S/cm,402.99473449999994,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.409657,log Conductivity,S/cm,393.7658983,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.442368,log Conductivity,S/cm,383.5192571,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.529595,log Conductivity,S/cm,373.2513176,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.584112,log Conductivity,S/cm,362.75204011999995,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.649533,log Conductivity,S/cm,353.06869658,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.780374,log Conductivity,S/cm,342.97434209,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-5.878505,log Conductivity,S/cm,332.7956465,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-6.88162,log Conductivity,S/cm,322.59750348,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.32866,log Conductivity,S/cm,312.62622283999997,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.666667,log Conductivity,S/cm,302.89684483999997,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
600000.0,71400.0,,,-7.971963,log Conductivity,S/cm,292.7544446,"[336.0, 20.0]","[0.909090909, 0.090909091]","[44.02238095, 71.01001912]"
4402238.095,,,,-6.328671,log Conductivity,S/cm,362.69928058999994,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.477273,log Conductivity,S/cm,352.51869318999996,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.608392,log Conductivity,S/cm,342.70494269999995,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.704545,log Conductivity,S/cm,332.79797233,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-7.132867,log Conductivity,S/cm,322.94369638,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-7.980769,log Conductivity,S/cm,313.10331094,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-8.802448,log Conductivity,S/cm,303.17812533,"[336.0, 219.0]","[0.857142857, 0.142857143]","[44.02238095, 183.0083049]"
4402238.095,,,,-5.83042,log Conductivity,S/cm,362.91106936999995,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-5.935315,log Conductivity,S/cm,352.71863176,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.022727,log Conductivity,S/cm,342.98845844,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.162587,log Conductivity,S/cm,332.88715358999997,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.66958,log Conductivity,S/cm,323.02767378,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-7.491259,log Conductivity,S/cm,312.70961316,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-8.129371,log Conductivity,S/cm,302.95649181,"[336.0, 219.0]","[0.888888889, 0.111111111]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.221441,log Conductivity,S/cm,362.89144647,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.318102,log Conductivity,S/cm,352.97460523999996,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.397188,log Conductivity,S/cm,343.01516503999994,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.520211,log Conductivity,S/cm,333.06477211,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.862917,log Conductivity,S/cm,322.8325587,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-7.680141,log Conductivity,S/cm,312.97327427,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-8.365554,log Conductivity,S/cm,302.88225785,"[336.0, 219.0]","[0.909090909, 0.090909091]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.678383,log Conductivity,S/cm,363.10398717,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.72232,log Conductivity,S/cm,352.97460523999996,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.845343,log Conductivity,S/cm,343.11014246999997,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
4402238.095,,,,-6.968366,log Conductivity,S/cm,333.15420742,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
4402238.095,,,,-7.961336,log Conductivity,S/cm,323.25342939999996,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
4402238.095,,,,-8.70826,log Conductivity,S/cm,313.05224372,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
4402238.095,,,,-9.086116,log Conductivity,S/cm,302.95630825,"[336.0, 219.0]","[0.923076923, 0.076923077]","[44.02238095, 183.0083049]"
1505121.734,102.0316941,,,-5.737931,log Conductivity,S/cm,358.10782985,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
1505121.734,102.0316941,,,-5.844828,log Conductivity,S/cm,348.42659260999994,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
1505121.734,102.0316941,,,-5.962069,log Conductivity,S/cm,338.2470482,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
1505121.734,102.0316941,,,-6.086207,log Conductivity,S/cm,328.17173883,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
1505121.734,102.0316941,,,-6.231034,log Conductivity,S/cm,318.08578518999997,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
1505121.734,102.0316941,,,-6.382759,log Conductivity,S/cm,308.11399724999995,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
1505121.734,102.0316941,,,-6.5,log Conductivity,S/cm,298.22677343,"[95.0, 358.0]","[0.931918146, 0.068081854]","[241.0122873, 102.0316941]"
105000.0,102.0316941,,,-4.945819,log Conductivity,S/cm,358.03961852,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
105000.0,102.0316941,,,-5.014047,log Conductivity,S/cm,347.97447537999994,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
105000.0,102.0316941,,,-5.122408,log Conductivity,S/cm,338.12044255999996,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
105000.0,102.0316941,,,-5.274916,log Conductivity,S/cm,328.08958683,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
105000.0,102.0316941,,,-5.383278,log Conductivity,S/cm,318.11087946,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
105000.0,102.0316941,,,-5.479599,log Conductivity,S/cm,308.22758045,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
105000.0,102.0316941,,,-5.616054,log Conductivity,S/cm,298.08133984,"[190.0, 358.0]","[0.599770358, 0.400229642]","[185.0224581, 102.0316941]"
52800.0,5000000.0,,,-9.180987,log Conductivity,S/cm,298.539408,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-8.720293,log Conductivity,S/cm,303.11884699999996,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-8.272395,log Conductivity,S/cm,308.78862899999996,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-7.862888,log Conductivity,S/cm,313.586137,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-7.478976,log Conductivity,S/cm,318.60171299999996,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-7.082267,log Conductivity,S/cm,323.39922099999995,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-6.557587,log Conductivity,S/cm,327.97866,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-6.327239,log Conductivity,S/cm,333.648442,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-5.981718,log Conductivity,S/cm,338.44595,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-5.585009,log Conductivity,S/cm,343.243458,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-5.303473,log Conductivity,S/cm,348.259034,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-5.09872,log Conductivity,S/cm,353.71074799999997,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-5.009141,log Conductivity,S/cm,358.50825499999996,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
52800.0,5000000.0,,,-4.919561,log Conductivity,S/cm,363.959969,"[252.0, 336.0]","[0.166666667, 0.833333333]","[313.9735741, 44.02238095]"
5000000.0,52800.0,,,-7.952468,log Conductivity,S/cm,298.28178299999996,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-7.440585,log Conductivity,S/cm,303.274031,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-7.056673,log Conductivity,S/cm,307.83217099999996,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-6.659963,log Conductivity,S/cm,312.824419,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-6.096892,log Conductivity,S/cm,318.03372099999996,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-5.661792,log Conductivity,S/cm,323.677132,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-5.175503,log Conductivity,S/cm,327.58410899999996,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-4.407678,log Conductivity,S/cm,332.793411,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-3.882998,log Conductivity,S/cm,338.219767,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-3.575868,log Conductivity,S/cm,342.994961,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-3.499086,log Conductivity,S/cm,348.421318,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-3.21755,log Conductivity,S/cm,352.97945699999997,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-3.051188,log Conductivity,S/cm,357.971705,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-2.859232,log Conductivity,S/cm,362.96395299999995,"[336.0, 252.0]","[0.888888889, 0.111111111]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-9.642336,log Conductivity,S/cm,298.58478299999996,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-8.90146,log Conductivity,S/cm,303.58478299999996,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-8.083942,log Conductivity,S/cm,307.93260899999996,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-7.279197,log Conductivity,S/cm,313.58478299999996,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-6.589416,log Conductivity,S/cm,318.367391,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-5.95073,log Conductivity,S/cm,323.15,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-5.363139,log Conductivity,S/cm,328.367391,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
5000000.0,52800.0,,,-4.571168,log Conductivity,S/cm,332.93260899999996,"[336.0, 252.0]","[0.952380952, 0.047619048]","[44.02238095, 313.9735741]"
