value,T,Train_Test_Label,property,unit,cmp_ids,cmp_mole_fractions
0.4831,303.15,train,Log viscosity,cP,[491.0],"[0.0, 1.0]"
0.4679,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.1, 0.9]"
0.425,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.2, 0.8]"
0.381,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.3, 0.7]"
0.3396,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.4, 0.6]"
0.3062,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.5, 0.5]"
0.2808,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.6, 0.4]"
0.2545,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.7, 0.3]"
0.2411,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.8, 0.2]"
0.2393,303.15,train,Log viscosity,cP,"[3.0, 491.0]","[0.9, 0.1]"
0.2536,303.15,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
-0.5163,298.15,train,Log viscosity,cP,[723.0],"[0.0, 1.0]"
-0.4541,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.1, 0.9]"
-0.3988,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.2, 0.8]"
-0.3076,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.3, 0.7]"
-0.2418,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.4, 0.6]"
-0.174,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.5, 0.5]"
-0.0856,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.6, 0.4]"
-0.007,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.7, 0.3]"
0.0854,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.8, 0.2]"
0.1736,298.15,train,Log viscosity,cP,"[3.0, 723.0]","[0.9, 0.1]"
0.6828,303.15,train,Log viscosity,cP,[1119.0],"[0.0, 1.0]"
0.6406,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.1, 0.9]"
0.5876,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.2, 0.8]"
0.5262,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.3, 0.7]"
0.4708,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.4, 0.6]"
0.4162,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.5, 0.5]"
0.37,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.6, 0.4]"
0.3261,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.7, 0.3]"
0.2893,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.8, 0.2]"
0.2621,303.15,train,Log viscosity,cP,"[3.0, 1119.0]","[0.9, 0.1]"
0.8689,303.15,test,Log viscosity,cP,[791.0],"[0.0, 1.0]"
0.8171,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.1, 0.9]"
0.7512,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.2, 0.8]"
0.6875,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.3, 0.7]"
0.6436,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.4, 0.6]"
0.5709,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.5, 0.5]"
0.5024,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.6, 0.4]"
0.43,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.7, 0.3]"
0.3569,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.8, 0.2]"
0.2944,303.15,train,Log viscosity,cP,"[3.0, 791.0]","[0.9, 0.1]"
0.5672,303.15,train,Log viscosity,cP,[804.0],"[0.0, 1.0]"
0.5544,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.1, 0.9]"
0.5113,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.2, 0.8]"
0.4629,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.3, 0.7]"
0.4182,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.4, 0.6]"
0.374,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.5, 0.5]"
0.3345,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.6, 0.4]"
0.2997,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.7, 0.3]"
0.2708,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.8, 0.2]"
0.252,303.15,train,Log viscosity,cP,"[3.0, 804.0]","[0.9, 0.1]"
0.4537,303.15,train,Log viscosity,cP,[815.0],"[0.0, 1.0]"
0.4512,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.1, 0.9]"
0.4191,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.2, 0.8]"
0.3788,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.3, 0.7]"
0.3424,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.4, 0.6]"
0.3092,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.5, 0.5]"
0.2837,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.6, 0.4]"
0.2614,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.7, 0.3]"
0.2465,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.8, 0.2]"
0.2417,303.15,train,Log viscosity,cP,"[3.0, 815.0]","[0.9, 0.1]"
0.3282,303.15,train,Log viscosity,cP,[830.0],"[0.0, 1.0]"
0.3385,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.1, 0.9]"
0.3167,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.2, 0.8]"
0.2908,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.3, 0.7]"
0.2678,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.4, 0.6]"
0.2487,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.5, 0.5]"
0.2364,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.6, 0.4]"
0.2296,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.7, 0.3]"
0.2268,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.8, 0.2]"
0.2314,303.15,train,Log viscosity,cP,"[3.0, 830.0]","[0.9, 0.1]"
-0.3872,308.0,train,Log viscosity,cP,[910.0],"[0.0, 1.0]"
-0.3036,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.1, 0.9]"
-0.2247,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.2, 0.8]"
-0.1506,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.3, 0.7]"
-0.0807,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.4, 0.6]"
-0.0156,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.5, 0.5]"
0.0446,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.6, 0.4]"
0.1003,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.7, 0.3]"
0.1472,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.8, 0.2]"
0.1874,308.0,train,Log viscosity,cP,"[3.0, 910.0]","[0.9, 0.1]"
-0.1354,306.43333333333334,train,Log viscosity,cP,[925.0],"[0.0, 1.0]"
-0.0653,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.1, 0.9]"
0.0408,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.2, 0.8]"
0.1144,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.3, 0.7]"
0.1716,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.4, 0.6]"
0.2247,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.5, 0.5]"
0.2551,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.6, 0.4]"
0.264,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.7, 0.3]"
0.2681,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.8, 0.2]"
0.2593,306.43333333333334,train,Log viscosity,cP,"[3.0, 925.0]","[0.9, 0.1]"
0.2412,306.43333333333334,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
-0.362,318.0,train,Log viscosity,cP,[942.0],"[0.0, 1.0]"
-0.225,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.1, 0.9]"
-0.1279,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.2, 0.8]"
-0.0605,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.3, 0.7]"
-0.0062,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.4, 0.6]"
0.0347,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.5, 0.5]"
0.0668,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.6, 0.4]"
0.0944,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.7, 0.3]"
0.1185,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.8, 0.2]"
0.1412,318.0,train,Log viscosity,cP,"[3.0, 942.0]","[0.9, 0.1]"
-0.4233,305.65,train,Log viscosity,cP,[951.0],"[0.0, 1.0]"
-0.3421,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.1, 0.9]"
-0.2436,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.2, 0.8]"
-0.1807,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.3, 0.7]"
-0.1007,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.4, 0.6]"
-0.0257,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.5, 0.5]"
0.0409,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.6, 0.4]"
0.0988,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.7, 0.3]"
0.1627,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.8, 0.2]"
0.2138,305.65,train,Log viscosity,cP,"[3.0, 951.0]","[0.9, 0.1]"
0.2513,305.65,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
0.1828,303.15,train,Log viscosity,cP,[956.0],"[0.0, 1.0]"
0.2377,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.1, 0.9]"
0.2737,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.2, 0.8]"
0.2981,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.3, 0.7]"
0.3083,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.4, 0.6]"
0.3048,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.5, 0.5]"
0.2958,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.6, 0.4]"
0.281,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.7, 0.3]"
0.2657,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.8, 0.2]"
0.2547,303.15,train,Log viscosity,cP,"[3.0, 956.0]","[0.9, 0.1]"
0.1354,318.0,train,Log viscosity,cP,[970.0],"[0.0, 1.0]"
0.1853,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.1, 0.9]"
0.2317,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.2, 0.8]"
0.2667,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.3, 0.7]"
0.2925,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.4, 0.6]"
0.2969,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.5, 0.5]"
0.2972,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.6, 0.4]"
0.2772,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.7, 0.3]"
0.241,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.8, 0.2]"
0.2072,318.0,train,Log viscosity,cP,"[3.0, 970.0]","[0.9, 0.1]"
-0.2875,305.65,train,Log viscosity,cP,[984.0],"[0.0, 1.0]"
-0.2203,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.1, 0.9]"
-0.1596,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.2, 0.8]"
-0.1016,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.3, 0.7]"
-0.0428,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.4, 0.6]"
0.0151,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.5, 0.5]"
0.0698,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.6, 0.4]"
0.1201,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.7, 0.3]"
0.1697,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.8, 0.2]"
0.2141,305.65,train,Log viscosity,cP,"[3.0, 984.0]","[0.9, 0.1]"
-0.0888,308.0,train,Log viscosity,cP,[990.0],"[0.0, 1.0]"
-0.0615,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.1, 0.9]"
-0.0321,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.2, 0.8]"
-0.0009,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.3, 0.7]"
0.0311,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.4, 0.6]"
0.0633,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.5, 0.5]"
0.0932,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.6, 0.4]"
0.1205,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.7, 0.3]"
0.1544,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.8, 0.2]"
0.19,308.0,train,Log viscosity,cP,"[3.0, 990.0]","[0.9, 0.1]"
0.0692,305.65,train,Log viscosity,cP,[995.0],"[0.0, 1.0]"
0.0908,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.1, 0.9]"
0.1136,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.2, 0.8]"
0.1383,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.3, 0.7]"
0.1573,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.4, 0.6]"
0.1767,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.5, 0.5]"
0.1949,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.6, 0.4]"
0.2123,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.7, 0.3]"
0.2265,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.8, 0.2]"
0.2417,305.65,train,Log viscosity,cP,"[3.0, 995.0]","[0.9, 0.1]"
0.2714,298.15,train,Log viscosity,cP,[1010.0],"[0.0, 1.0]"
0.2838,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.1, 0.9]"
0.2959,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.2, 0.8]"
0.3119,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.3, 0.7]"
0.3218,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.4, 0.6]"
0.3248,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.5, 0.5]"
0.3257,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.6, 0.4]"
0.3175,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.7, 0.3]"
0.3069,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.8, 0.2]"
0.2916,298.15,train,Log viscosity,cP,"[3.0, 1010.0]","[0.9, 0.1]"
0.5671,298.15,train,Log viscosity,cP,[1023.0],"[0.0, 1.0]"
0.5391,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.1, 0.9]"
0.5116,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.2, 0.8]"
0.4848,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.3, 0.7]"
0.4594,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.4, 0.6]"
0.4285,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.5, 0.5]"
0.3994,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.6, 0.4]"
0.3711,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.7, 0.3]"
0.3441,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.8, 0.2]"
0.3094,298.15,test,Log viscosity,cP,"[3.0, 1023.0]","[0.9, 0.1]"
0.3582,310.65,train,Log viscosity,cP,[1024.0],"[0.0, 1.0]"
0.3515,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.1, 0.9]"
0.3448,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.2, 0.8]"
0.3351,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.3, 0.7]"
0.3208,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.4, 0.6]"
0.3098,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.5, 0.5]"
0.2963,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.6, 0.4]"
0.2789,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.7, 0.3]"
0.2623,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.8, 0.2]"
0.2446,310.65,train,Log viscosity,cP,"[3.0, 1024.0]","[0.9, 0.1]"
0.2241,310.65,train,Log viscosity,cP,[3.0],"[1.0, 0.0]"
0.4148,303.15,train,Log viscosity,cP,[1047.0],"[0.0, 1.0]"
0.404,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.1, 0.9]"
0.3964,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.2, 0.8]"
0.3625,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.3, 0.7]"
0.3406,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.4, 0.6]"
0.3179,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.5, 0.5]"
0.297,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.6, 0.4]"
0.2783,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.7, 0.3]"
0.2617,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.8, 0.2]"
0.2513,303.15,train,Log viscosity,cP,"[3.0, 1047.0]","[0.9, 0.1]"
0.9857,303.15,train,Log viscosity,cP,[786.0],"[0.0, 1.0]"
0.9756,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.1, 0.9]"
0.9661,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.2, 0.8]"
0.9567,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.3, 0.7]"
0.9477,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.4, 0.6]"
0.9396,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.5, 0.5]"
0.933,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.6, 0.4]"
0.9285,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.7, 0.3]"
0.9262,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.8, 0.2]"
0.9254,303.15,train,Log viscosity,cP,"[4.0, 786.0]","[0.9, 0.1]"
0.925,303.15,train,Log viscosity,cP,[4.0],"[1.0, 0.0]"
0.884,298.15,train,Log viscosity,cP,[795.0],"[0.0, 1.0]"
0.8884,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.1, 0.9]"
0.8929,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.2, 0.8]"
0.8984,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.3, 0.7]"
0.9049,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.4, 0.6]"
0.9134,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.5, 0.5]"
0.9237,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.6, 0.4]"
0.9356,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.7, 0.3]"
0.9504,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.8, 0.2]"
0.9666,298.15,train,Log viscosity,cP,"[4.0, 795.0]","[0.9, 0.1]"
0.9819,298.15,train,Log viscosity,cP,[4.0],"[1.0, 0.0]"
0.6517,298.15,train,Log viscosity,cP,[804.0],"[0.0, 1.0]"
0.683,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.1, 0.9]"
0.7122,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.2, 0.8]"
0.7472,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.3, 0.7]"
0.7805,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.4, 0.6]"
0.8133,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.5, 0.5]"
0.8459,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.6, 0.4]"
0.8787,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.7, 0.3]"
0.9116,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.8, 0.2]"
0.9462,298.15,train,Log viscosity,cP,"[4.0, 804.0]","[0.9, 0.1]"
0.537,298.15,train,Log viscosity,cP,[815.0],"[0.0, 1.0]"
0.5835,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.1, 0.9]"
0.6327,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.2, 0.8]"
0.6812,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.3, 0.7]"
0.7284,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.4, 0.6]"
0.7734,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.5, 0.5]"
0.8163,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.6, 0.4]"
0.8575,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.7, 0.3]"
0.8978,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.8, 0.2]"
0.9385,298.15,train,Log viscosity,cP,"[4.0, 815.0]","[0.9, 0.1]"
0.1772,298.0,train,Log viscosity,cP,[5.0],"[1.0, 0.0]"
-0.1365,298.0,train,Log viscosity,cP,[6.0],"[1.0, 0.0]"
-0.0066,298.0,train,Log viscosity,cP,[7.0],"[1.0, 0.0]"
0.1783,298.0,train,Log viscosity,cP,[8.0],"[1.0, 0.0]"
0.7235,293.15,train,Log viscosity,cP,[804.0],"[0.0, 1.0]"
0.6501,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.1, 0.9]"
0.5815,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.2, 0.8]"
0.5124,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.3, 0.7]"
0.45,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.4, 0.6]"
0.3911,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.5, 0.5]"
0.3366,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.6, 0.4]"
0.2871,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.7, 0.3]"
0.2498,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.8, 0.2]"
0.2296,293.15,train,Log viscosity,cP,"[9.0, 804.0]","[0.9, 0.1]"
0.2388,293.15,train,Log viscosity,cP,[9.0],"[1.0, 0.0]"
-0.2429,303.15,test,Log viscosity,cP,[977.0],"[0.0, 1.0]"
-0.216,303.15,train,Log viscosity,cP,"[9.0, 977.0]","[0.1, 0.9]"
-0.1888,303.15,train,Log viscosity,cP,"[9.0, 977.0]","[0.2, 0.8]"
-0.1586,303.15,train,Log viscosity,cP,"[9.0, 977.0]","[0.3, 0.7]"
-0.1242,303.15,train,Log viscosity,cP,"[9.0, 977.0]","[0.4, 0.6]"
