compound_id,name,smiles,salt
21,3-hexadecyloxy-2-hydroxypropyltrimethylammonium chloride,CCCCCCCCCCCCCCCCOCC(O)C[N+](C)(C)C.[Cl-],1
22,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
23,1-ethyl-3-methylimidazolium thiocyanate,CC[n+]1ccn(C)c1.N#C[S-],1
24,tetraethylammonium trifluoromethanesulfonate,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,1
25,acetonitrile,CC#N,0
26,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
27,dimethylformamide,CN(C)C=O,0
28,tetrabutylammonium thiocyanate,CCCC[N+](CCCC)(CCCC)CCCC.N#C[S-],1
29,dodecyl(2-hydroxyethyl)dimethylammonium bromide,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],1
30,dimethyl sulfoxide,CS(C)=O,0
31,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1
32,ferric chloride,Cl[Fe](Cl)Cl,0
33,dichloromethane,ClCCl,0
34,"N,N-dimethylethanamide",CC(=O)N(C)C,0
35,"2-(N,N-dimethylamino)ethanol",CN(C)CCO,0
36,1-methyl-3-tetradecylimidazolium bromide,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1
37,tetradecyltrimethylammonium bromide,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1
38,1-butyl-3-methylimidazolium chloride,CCCC[n+]1ccn(C)c1.[Cl-],1
39,ethanol,CCO,0
40,1-ethyl-3-methylimidazolium chloride,CC[n+]1ccn(C)c1.[Cl-],1
41,methanol,CO,0
42,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
43,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
44,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
45,butan-1-ol,CCCCO,0
46,dimethyl carbonate,COC(=O)OC,0
47,"N,N,N-trimethyl-1-dodecanaminium chloride",CCCCCCCCCCCC[N+](C)(C)C.[Cl-],1
48,tetraethylammonium tetrafluoroborate,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1
49,triethylammonium nitrate,CC[NH+](CC)CC.O=[N+]([O-])[O-],1
50,"(2-hydroxyethyl)dimethylammonium 4-sulfonatooxy-2,2,6,6-tetramethylpiperidine-1-yloxyl",CC1(C)CC(OS(=O)(=O)[O-])CC(C)(C)N1[O].C[NH+](C)CCO,1
51,"ethyl(2-hydroxyethyl)dimethylammonium 4-sulfonatooxy-2,2,6,6-tetramethylpiperidine-1-yloxyl",CC1(C)CC(OS(=O)(=O)[O-])CC(C)(C)N1[O].CC[N+](C)(C)CCO,1
52,"propyl(2-hydroxyethyl)dimethylammonium 4-sulfonatooxy-2,2,6,6-tetramethylpiperidine-1-yloxyl",CC1(C)CC(OS(=O)(=O)[O-])CC(C)(C)N1[O].CCC[N+](C)(C)CCO,1
53,"butyl(2-hydroxyethyl)dimethylammonium 4-sulfonatooxy-2,2,6,6-tetramethylpiperidine-1-yloxyl",CC1(C)CC(OS(=O)(=O)[O-])CC(C)(C)N1[O].CCCC[N+](C)(C)CCO,1
54,"pentyl(2-hydroxyethyl)dimethylammonium 4-sulfonatooxy-2,2,6,6-tetramethylpiperidine-1-yloxyl",CC1(C)CC(OS(=O)(=O)[O-])CC(C)(C)N1[O].CCCCC[N+](C)(C)CCO,1
55,1-cetylpyridinium salicylate,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1
56,1-hexyl-3-methylimidazolium chloride,CCCCCC[n+]1ccn(C)c1.[Cl-],1
57,1-methylimidazolium chloride,Cn1cc[nH+]c1.[Cl-],1
58,"1,3-dimethylimidazolium chloride",Cn1cc[n+](C)c1.[Cl-],1
59,1-butyronitrile-3-methylimidazolium tetrafluoroborate,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1
60,"1,2-dimethyl-3-propylimidazolium thiocyanate",CCCn1cc[n+](C)c1C.N#C[S-],1
61,"1-butyl-2,3-dimethylimidazolium thiocyanate",CCCC[n+]1ccn(C)c1C.N#C[S-],1
62,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1
63,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,1
64,lithium bis((trifluoromethyl)sulfonyl)amide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1
65,warfarin sodium,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],1
66,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
67,cetylpyridinium DL-mandelate,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,1
68,N-octylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCC)[N+]1=CC=CC=C1,1
69,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,1
70,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1
71,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
72,tetrabutylammonium docusate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,1
73,tetrabutylammonium acetate,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,1
74,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,1
75,1-ethyl-3-methylimidazolium methanesulfonate,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1
76,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1
77,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1
78,tetradecylpyridinium DL-mandelate,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,1
79,1-butyl-3-methylimidazolium 4-dodecylbenzenesulfonate,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.CCCC[n+]1ccn(C)c1,1
80,1-octylpyridinium bromide,CCCCCCCC[n+]1ccccc1.[Br-],1
81,2-hydroxy-N-methylethanaminium pentanoate,CCCCC(=O)[O-].C[NH2+]CCO,1
82,2-hydroxy-N-methylethanaminium propionate,CCC(=O)[O-].C[NH2+]CCO,1
83,diethylammonium acetate,CC(=O)[O-].CC[NH2+]CC,1
84,1-pentylpyridinium acetate,CC(=O)[O-].CCCCC[n+]1ccccc1,1
85,1-hexylpyridinium acetate,CC(=O)[O-].CCCCCC[n+]1ccccc1,1
86,"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1
87,dodecyltriethylphosphonium 2-cyanopyrrolide,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,1
88,sodium bis(fluorosulfonyl)amide,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],1
89,aluminum chloride,Cl[Al](Cl)Cl,0
90,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1
91,aluminum bromide,Br[Al](Br)Br,0
92,1-decyl-3-methylimidazolium bromide,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1
93,diethylammonium nitrate,CC[NH2+]CC.O=[N+]([O-])[O-],1
94,tetraethylammonium nitrate,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],1
95,lithium bis(fluorosulfonyl)imide,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],1
96,N-methyl-2-hydroxyethylammonium butanoate,CCCC(=O)[O-].C[NH2+]CCO,1
97,tetrapropylammonium bromide,CCC[N+](CCC)(CCC)CCC.[Br-],1
98,1-hexadecyl-3-methylimidazolium chloride,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1
99,N-methyl-2-hydroxyethylammonium acetate,CC(=O)[O-].C[NH2+]CCO,1
100,"2-hydroxy-N,N,N-trimethylethanaminium glycinate",C[N+](C)(C)CCO.NCC(=O)[O-],1
101,carbon dioxide,O=C=O,0
102,2-propoxyethanol,CCCOCCO,0
103,2-ethoxyethan-1-ol,CCOCCO,0
104,2-methoxyethan-1-ol,COCCO,0
105,2-fluoropyridine,Fc1ccccn1,0
106,sodium tetrafluoroborate,F[B-](F)(F)F.[Na+],1
107,ammonium isothiocyanate,[N-]=C=S.[NH4+],1
108,1-decyl-3-methylimidazolium perfluorobutylsulfonate,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
109,1-methyl-3-propylimidazolium L-serinate,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1
110,1-butyl-3-methylimidazolium L-serinate,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1
111,1-ethylpyridinium dicyanamide,CC[n+]1ccccc1.N#C[N-]C#N,1
112,1-propylpyridinium dicyanamide,CCC[n+]1ccccc1.N#C[N-]C#N,1
113,1-pentylpyridinium dicyanamide,CCCCC[n+]1ccccc1.N#C[N-]C#N,1
114,1-hexylpyridinium dicyanamide,CCCCCC[n+]1ccccc1.N#C[N-]C#N,1
115,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
116,1-(2-cyanoethyl)-3[2-(2-methoxyethoxy)ethyl]imidazolium bis((trifluoromethyl)sulfonyl)imide,COCCOCCn1cc[n+](CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
117,1-hexadecylpyridinium bromide,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1
118,1-methyl-3-octylimidazolium bromide,CCCCCCCCn1cc[n+](C)c1.[Br-],1
119,1-methyl-3-octylimidazolium chloride,CCCCCCCCn1cc[n+](C)c1.[Cl-],1
120,ammonium acetate,CC(=O)[O-].[NH4+],1
121,1-(2-ethoxyethyl)-3-methylimidazolium acetate,C(C)(=O)[O-].C(C)OCCN1C=[N+](C=C1)C,1
122,1-(2-ethoxyethyl)-3-methylimidazolium lactate,C(C(O)C)(=O)[O-].C(C)OCCN1C=[N+](C=C1)C,1
123,1-(2-ethoxyethyl)-3-methylimidazolium propanoate,C(CC)(=O)[O-].C(C)OCCN1C=[N+](C=C1)C,1
124,1-(2-methoxyethyl)-3-methylimidazolium acetate,CC(=O)[O-].C[N+]1=CN(C=C1)CCOC,1
125,1-(2-methoxyethyl)-3-methylimidazolium propanoate,C(CC)(=O)[O-].COCCN1C=[N+](C=C1)C,1
126,ethylene carbonate,O=C1OCCO1,0
127,ethylhexadecyldimethylammonium bromide,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],1
128,3-ethyl-1-methyl-1H-imidazolium L-serinate,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1
129,cetylpyridinium chloride,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],1
130,1-butyl-3-methylimidazolium bromide,CCCC[n+]1ccn(C)c1.[Br-],1
131,6-amino-1H-purine,Nc1ncnc2[nH]cnc12,0
132,glycerol,OCC(O)CO,0
133,"1,2-ethanediol",OCCO,0
134,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
135,lithium tetrafluoroborate,[Li+].[B-](F)(F)(F)F,1
136,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1
137,1-ethyl-3-methylimidazolium ethyl sulfate,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1
138,1-ethyl-3-methylimidazolium trifluoroacetate,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1
139,ammonium chloride (NH4Cl),[Cl-].[NH4+],1
140,1-hexyl-3-methylimidazolium iodide,CCCCCC[n+]1ccn(C)c1.[I-],1
141,hexyltrimethylammonium bromide,CCCCCC[N+](C)(C)C.[Br-],1
142,tetrabutylammonium perchlorate,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,1
143,lithium nitrate,O=[N+]([O-])[O-].[Li+],1
144,Tantalum fluoride,F[Ta](F)(F)(F)F,0
145,1-butyl-3-vinylimidazolium L-histidinate,N[C@@H](CC1=CNC=N1)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,1
146,1-butyl-3-vinylimidazolium L-lysinate,N[C@@H](CCCCN)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,1
147,1-butyl-3-vinylimidazolium L-serinate,N[C@@H](CO)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,1
148,1-butyl-3-vinylimidazolium glycinate,CCCC[N+]1=CN(C=C1)C=C.C(C(=O)[O-])N,1
149,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
150,ethyltributylphosphonium bromide,CCCC[P+](CC)(CCCC)CCCC.[Br-],1
151,tetrabutylphosphonium bromide,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],1
152,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
153,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,1
154,1-ethyl-3-methylimidazolium iodide,CC[n+]1ccn(C)c1.[I-],1
155,triethylene glycol,OCCOCCOCCO,0
156,triethanolamine,OCCN(CCO)CCO,0
157,"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,1
158,ethylammonium nitrate,CC[NH3+].O=[N+]([O-])[O-],1
159,butyltriethylphosphonium 2-cyanopyrrolide,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,1
160,N-octylpyridinium chloride,CCCCCCCC[n+]1ccccc1.[Cl-],1
161,"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
162,"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
163,tetraphenylphosphonium chloride,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1
164,1-butyl-3-methylimidazolium methyl sulfate,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1
165,1-butyl-3-methylimidazolium hexafluorophosphate,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1
166,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1
167,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1
168,hexan-1-ol,CCCCCCO,0
169,1-benzyl-3-methylimidazolium hexafluorophosphate,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,1
170,N-dodecyl-N-methylpyrrolidinium salicylate,CCCCCCCCCCCC[N+]1(C)CCCC1.O=C([O-])c1ccccc1O,1
171,1-ethyl-3-methylimidazolium tetradecanoate,CCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1
172,ammonium ethanesulfonate,CCS(=O)(=O)[O-].[NH4+],1
173,sodium ethanoate,CC(=O)[O-].[Na+],1
174,lithium cyano(trifluoromethanesulfonyl)imide,[Li+].[N-](C#N)S(=O)(=O)C(F)(F)F,1
175,1-decyl-3-methylimidazolium chloride,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1
176,N-dodecyl-N-methylpiperidinium salicylate,CCCCCCCCCCCC[N+]1(C)CCCCC1.O=C([O-])c1ccccc1O,1
177,1-(2-hydroxyethyl)-3-methylimidazolium myristate,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1,1
178,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,1
179,choline bis(trifluoromethylsulfonyl)imide,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
180,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
181,lithium trifluoromethanesulfonate,O=S(=O)([O-])C(F)(F)F.[Li+],1
182,methyl methanoate,COC=O,0
183,methyl ethanoate,COC(C)=O,0
184,tetraethylammonium chloride,CC[N+](CC)(CC)CC.[Cl-],1
185,1-(2-ethoxy-2-oxoethyl)-3-methylimidazolium chloride,CCOC(=O)C[n+]1ccn(C)c1.[Cl-],1
186,1-allyl-3-methylimidazolium chloride,C=CC[n+]1ccn(C)c1.[Cl-],1
187,magnesium bis((trifluoromethyl)sulfonyl)amide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Mg+2],1
188,1-dodecylpyridinium chloride,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1
189,3-methylpyridine,Cc1cccnc1,0
190,1-ethyl-3-methylimidazolium decyl sulfate,CCCCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1
191,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
192,L-methionine,CSCC[C@H](N)C(=O)O,0
193,L-threonine,C[C@@H](O)[C@H](N)C(=O)O,0
194,tetrabutylammonium hydrogen sulfate,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,1
195,tetrapropylammonium perchlorate,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,1
196,1-butyl-3-methylimidazolium dicyanamide,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1
197,N-decylpyridinium chloride,CCCCCCCCCC[n+]1ccccc1.[Cl-],1
198,1-aza-2-cycloheptanone,O=C1CCCCCN1,0
199,1-(3-hydroxypropyl)-3-methylimidazolium myristate,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1
200,1-dodecyl-3-methylimidazolium perfluorobutanesulfonate,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
201,1-ethyl-3-methylimidazolium methyl phosphonate,CC[n+]1ccn(C)c1.CO[PH](=O)[O-],1
202,butylammonium acetate,CC(=O)[O-].CCCC[NH3+],1
203,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
204,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1
205,1-methyl-1-propylpyrrolidinium dicyanamide,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1
206,sodium bis(trifluoromethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Na+],1
207,tetrabutylammonium picrate,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],1
208,4-methylpentan-2-one,CC(=O)CC(C)C,0
209,1-butyl-1-methylpyrrolidinium tricyanomethanide,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1
210,1-butyl-1-methylpyrrolidinium acetate,CC(=O)[O-].CCCC[N+]1(C)CCCC1,1
211,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
212,benzyltributylammonium chloride,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],1
213,tetrabutylammonium chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],1
214,L-serine,N[C@@H](CO)C(=O)O,0
215,tetra-iso-butyl ammonium bromide,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],1
216,tetra-sec-butyl ammonium bromide,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],1
217,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1
218,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1
219,1-ethyl-3-methylimidazolium diethyl phosphate,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1
220,propan-1-ol,CCCO,0
221,"tetrapentylammonium 2,4,6-trinitrophenolate",CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
222,nitromethane,C[N+](=O)[O-],0
223,"3-methyltetrahydrothiophene 1,1-dioxide",CC1CCS(=O)(=O)C1,0
224,1-dodecyl-3-methylimidazolium chloride,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1
225,1-dodecyl-3-methylimidazolium bromide,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1
226,trimethylbenzylammonium chloride,C[N+](C)(C)Cc1ccccc1.[Cl-],1
227,2-picoline N-oxide,Cc1cccc[n+]1[O-],0
228,"2-chloro-N,N,N-trimethylethanaminium chloride",C[N+](C)(C)CCCl.[Cl-],1
229,1-hexyl-3-methylimidazolium salicylate,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1
230,"1,3-dioxolane",C1COCO1,0
231,tributyl(hexadecyl)phosphonium bromide,CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Br-],1
232,N-methylformamide,CNC=O,0
233,formamide,NC=O,0
234,tetrapentylammonium bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],1
235,"2-ethyl-1,3-disulfoimidazolium trifluoroacetate",CCc1n(S(=O)(=O)O)cc[n+]1S(=O)(=O)O.O=C([O-])C(F)(F)F,1
