value,error,Train_Test_Label,cmp_ids,cmp_mole_fractions,property,unit
91.2,15.4267,train,[197],[1.0],Motor octane number,
79.0,11.8619,train,[198],[1.0],Motor octane number,
86.0,19.3224,train,[199],[1.0],Motor octane number,
80.0,7.8677,train,[200],[1.0],Motor octane number,
83.0,9.304,train,[201],[1.0],Motor octane number,
70.0,8.5234,train,[202],[1.0],Motor octane number,
68.0,10.5038,train,[203],[1.0],Motor octane number,
84.0,13.3609,train,[204],[1.0],Motor octane number,
0.0,9.9053,train,[205],[1.0],Motor octane number,
82.0,7.5841,train,[206],[1.0],Motor octane number,
84.0,14.3791,train,[207],[1.0],Motor octane number,
69.0,7.2499,train,[208],[1.0],Motor octane number,
83.3,6.2064,train,[48],[1.0],Motor octane number,
80.0,8.8494,test,[209],[1.0],Motor octane number,
80.0,11.8173,train,[210],[1.0],Motor octane number,
81.0,9.3713,train,[211],[1.0],Motor octane number,
52.0,8.0445,train,[212],[1.0],Motor octane number,
82.0,10.4124,train,[213],[1.0],Motor octane number,
64.0,9.8738,train,[214],[1.0],Motor octane number,
64.0,29.2445,test,[215],[1.0],Motor octane number,
71.0,5.777,test,[216],[1.0],Motor octane number,
84.0,13.2751,train,[217],[1.0],Motor octane number,
53.0,9.7878,train,[218],[1.0],Motor octane number,
92.0,13.4151,train,[219],[1.0],Motor octane number,
30.0,7.1394,train,[220],[1.0],Motor octane number,
85.0,9.7533,train,[221],[1.0],Motor octane number,
80.0,11.4899,train,[222],[1.0],Motor octane number,
28.0,10.0107,train,[223],[1.0],Motor octane number,
67.0,9.6196,train,[224],[1.0],Motor octane number,
108.1,11.5046,train,[225],[1.0],Motor octane number,
42.0,12.6085,train,[226],[1.0],Motor octane number,
83.0,9.2302,train,[227],[1.0],Motor octane number,
82.0,7.3324,train,[228],[1.0],Motor octane number,
75.0,10.829,train,[229],[1.0],Motor octane number,
97.0,9.8165,train,[230],[1.0],Motor octane number,
46.0,17.04,train,[231],[1.0],Motor octane number,
28.0,14.4041,train,[232],[1.0],Motor octane number,
68.0,6.618,train,[234],[1.0],Motor octane number,
55.0,7.5752,test,[235],[1.0],Motor octane number,
82.0,8.2541,train,[236],[1.0],Motor octane number,
82.0,7.8705,train,[237],[1.0],Motor octane number,
60.0,9.5745,train,[238],[1.0],Motor octane number,
87.0,11.4407,train,[239],[1.0],Motor octane number,
66.0,8.0198,train,[240],[1.0],Motor octane number,
81.0,15.3528,train,[241],[1.0],Motor octane number,
88.0,12.3784,train,[242],[1.0],Motor octane number,
97.0,16.4297,train,[243],[1.0],Motor octane number,
96.0,11.4344,train,[244],[1.0],Motor octane number,
100.0,13.0331,train,[245],[1.0],Motor octane number,
102.0,11.6165,train,[246],[1.0],Motor octane number,
84.0,9.0319,train,[247],[1.0],Motor octane number,
29.0,8.4029,train,[248],[1.0],Motor octane number,
11.0,8.7722,train,[249],[1.0],Motor octane number,
90.0,16.9815,train,[250],[1.0],Motor octane number,
87.0,12.4371,train,[251],[1.0],Motor octane number,
74.7,8.9518,train,[252],[1.0],Motor octane number,
75.0,8.4956,train,[253],[1.0],Motor octane number,
66.0,8.4125,train,[254],[1.0],Motor octane number,
90.0,18.1306,train,[255],[1.0],Motor octane number,
99.0,11.5761,train,[256],[1.0],Motor octane number,
90.0,12.8719,train,[257],[1.0],Motor octane number,
88.0,5.2752,test,[258],[1.0],Motor octane number,
81.0,10.5296,train,[259],[1.0],Motor octane number,
63.0,7.061,train,[260],[1.0],Motor octane number,
88.0,11.379,train,[261],[1.0],Motor octane number,
89.0,6.9587,train,[262],[1.0],Motor octane number,
81.0,7.8638,train,[263],[1.0],Motor octane number,
85.0,9.3289,train,[264],[1.0],Motor octane number,
74.0,7.7386,train,[265],[1.0],Motor octane number,
55.8,7.7611,train,[266],[1.0],Motor octane number,
72.0,6.7059,train,[267],[1.0],Motor octane number,
92.0,10.7955,train,[268],[1.0],Motor octane number,
71.0,8.0982,train,[269],[1.0],Motor octane number,
109.0,10.2633,train,[15],[1.0],Motor octane number,
79.0,8.1271,train,[270],[1.0],Motor octane number,
92.0,16.5076,test,[271],[1.0],Motor octane number,
88.3,14.6732,test,[272],[1.0],Motor octane number,
83.0,7.8096,train,[273],[1.0],Motor octane number,
100.0,17.5268,test,[274],[1.0],Motor octane number,
82.0,4.7286,test,[275],[1.0],Motor octane number,
90.0,10.9856,train,[276],[1.0],Motor octane number,
74.0,11.6118,train,[277],[1.0],Motor octane number,
83.0,11.8046,train,[278],[1.0],Motor octane number,
72.0,15.2954,train,[279],[1.0],Motor octane number,
81.0,7.2853,test,[280],[1.0],Motor octane number,
73.0,12.7091,train,[281],[1.0],Motor octane number,
46.0,19.7406,train,[282],[1.0],Motor octane number,
85.6,17.3668,train,[81],[1.0],Motor octane number,
88.0,12.6726,train,[283],[1.0],Motor octane number,
76.0,12.7372,train,[284],[1.0],Motor octane number,
82.0,11.165,train,[285],[1.0],Motor octane number,
99.0,16.0893,train,[286],[1.0],Motor octane number,
95.0,10.7424,train,[287],[1.0],Motor octane number,
85.0,11.0251,train,[288],[1.0],Motor octane number,
81.0,7.8196,train,[289],[1.0],Motor octane number,
81.0,8.9093,train,[290],[1.0],Motor octane number,
89.0,17.3068,train,[291],[1.0],Motor octane number,
99.0,11.2828,test,[292],[1.0],Motor octane number,
85.0,6.5377,train,[293],[1.0],Motor octane number,
99.3,12.0915,test,[294],[1.0],Motor octane number,
90.8,8.867,test,[295],[1.0],Motor octane number,
105.0,13.7488,train,[296],[1.0],Motor octane number,
93.0,9.5691,train,[297],[1.0],Motor octane number,
83.0,7.4466,train,[298],[1.0],Motor octane number,
85.0,9.304,train,[299],[1.0],Motor octane number,
87.0,7.6221,train,[300],[1.0],Motor octane number,
107.0,9.4708,train,[301],[1.0],Motor octane number,
82.0,9.5482,train,[302],[1.0],Motor octane number,
107.0,18.195,train,[303],[1.0],Motor octane number,
85.0,9.0564,train,[304],[1.0],Motor octane number,
94.0,14.1305,test,[305],[1.0],Motor octane number,
89.0,8.0859,train,[306],[1.0],Motor octane number,
62.0,10.5038,train,[307],[1.0],Motor octane number,
76.0,6.1107,train,[308],[1.0],Motor octane number,
74.2,8.0771,train,[309],[1.0],Motor octane number,
77.0,9.8458,train,[310],[1.0],Motor octane number,
86.0,6.1144,train,[311],[1.0],Motor octane number,
101.0,7.8269,train,[312],[1.0],Motor octane number,
89.0,16.2043,train,[313],[1.0],Motor octane number,
81.0,6.6031,train,[314],[1.0],Motor octane number,
66.0,13.1796,train,[315],[1.0],Motor octane number,
59.0,8.362,train,[316],[1.0],Motor octane number,
100.0,13.4123,train,[317],[1.0],Motor octane number,
58.0,7.6799,train,[318],[1.0],Motor octane number,
88.0,9.0053,train,[320],[1.0],Motor octane number,
70.0,9.6743,train,[321],[1.0],Motor octane number,
80.0,8.6442,train,[323],[1.0],Motor octane number,
73.0,9.9439,train,[324],[1.0],Motor octane number,
83.0,12.7392,train,[325],[1.0],Motor octane number,
96.0,7.3023,train,[326],[1.0],Motor octane number,
96.0,7.2865,train,[328],[1.0],Motor octane number,
90.0,7.5726,test,[329],[1.0],Motor octane number,
83.0,13.6532,train,[330],[1.0],Motor octane number,
61.0,10.7278,train,[332],[1.0],Motor octane number,
86.6,8.8729,train,"[255, 114, 8, 87, 333, 334, 335, 276, 9, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 130, 29, 104, 212, 336, 337, 338, 339, 340, 341, 342, 249, 343, 344, 345, 346, 347, 0, 15, 17, 79, 19, 43, 40, 96, 69, 109, 47, 16, 54, 312, 246, 328, 348, 349, 350, 351, 352, 353, 354, 81, 60, 110, 117, 214, 233, 112, 330, 277, 355, 356, 357, 358, 161, 84, 359, 2]","[0.038842, 0.03495, 0.033336000000000005, 0.010449, 0.013644, 0.004987, 0.004577, 0.027299000000000004, 0.004168, 0.009852, 0.020975, 0.0181, 0.008690999999999999, 0.001283, 0.013467, 0.0057940000000000005, 0.051745, 0.0034720000000000003, 0.007342, 0.006269, 0.019913, 0.020333, 0.005761, 0.0033829999999999997, 0.001681, 0.0025979999999999996, 0.003229, 0.009078000000000001, 0.00136, 0.001471, 0.003394, 0.0024879999999999998, 0.00115, 0.00366, 0.0046, 0.010172, 0.0031730000000000005, 0.00136, 0.0024879999999999998, 0.001946, 0.007562999999999999, 0.042480000000000004, 0.005484, 0.013345000000000001, 0.0061140000000000005, 0.006844, 0.001968, 0.006656, 0.003295, 0.004312, 0.0022, 0.010471, 0.0022, 0.002654, 0.001227, 0.00115, 0.002421, 0.001426, 0.002399, 0.002842, 0.002079, 0.001117, 0.001471, 0.007751, 0.012782, 0.001426, 0.0014039999999999999, 0.007684, 0.001769, 0.009741, 0.001139, 0.006899, 0.002023, 0.001327, 0.002023, 0.0039689999999999994, 0.002079, 0.043696, 0.0043230000000000005, 0.33576900000000004]",Motor octane number,
96.6,5.367,test,"[255, 276, 305, 86, 111, 57, 82, 10, 245, 127, 28, 121, 256, 195, 336, 337, 344, 346, 347, 312, 328, 349, 99]","[0.029533999999999998, 0.013736, 0.010896999999999999, 0.003196, 0.0016239999999999998, 0.009212, 0.00623, 0.7723779999999999, 0.012428, 0.011009, 0.009538, 0.039051999999999996, 0.039113, 0.008036999999999999, 0.012490000000000001, 0.0017460000000000002, 0.001103, 0.0025629999999999997, 0.002216, 0.001542, 0.001266, 0.001389, 0.009701999999999999]",Motor octane number,
87.1,7.3925,test,"[255, 114, 8, 87, 333, 334, 276, 9, 305, 86, 111, 57, 82, 107, 10, 245, 127, 28, 121, 195, 130, 29, 104, 212, 336, 337, 339, 340, 342, 249, 343, 344, 346, 347, 15, 17, 79, 19, 43, 40, 96, 69, 109, 47, 16, 54, 312, 246, 328, 348, 350, 351, 352, 353, 354, 81, 60, 110, 117, 214, 112, 277, 358, 84, 359, 33, 326, 268, 360, 361, 203, 51]","[0.036115, 0.010497000000000001, 0.02483, 0.005222, 0.007439, 0.0015129999999999998, 0.052423000000000004, 0.103941, 0.007145, 0.011243000000000001, 0.011149, 0.007145, 0.010928, 0.00496, 0.045929000000000005, 0.003184, 0.00641, 0.005485, 0.018157, 0.005064999999999999, 0.0020169999999999997, 0.001093, 0.001503, 0.001681, 0.007587, 0.001271, 0.001986, 0.0018809999999999999, 0.00187, 0.002291, 0.004707, 0.0018809999999999999, 0.001702, 0.001366, 0.223308, 0.009299, 0.023337, 0.011474, 0.009699, 0.001618, 0.005979, 0.002848, 0.003562, 0.00207, 0.010255, 0.001902, 0.00207, 0.001082, 0.001996, 0.003089, 0.003425, 0.004886, 0.0018599999999999999, 0.0017649999999999999, 0.00228, 0.21215900000000001, 0.010318, 0.001229, 0.001587, 0.004014, 0.004949, 0.0031730000000000005, 0.001923, 0.009509, 0.0022170000000000002, 0.001145, 0.001061, 0.001334, 0.001051, 0.001555, 0.002238, 0.001114]",Motor octane number,
71.8,7.8989,train,"[10, 15, 2, 1]","[0.475, 0.075, 0.1, 0.35]",Motor octane number,
50.7,9.1668,train,"[10, 15, 1]","[0.055999999999999994, 0.402, 0.542]",Motor octane number,
82.9,9.9291,train,"[10, 15, 1]","[0.3, 0.5, 0.2]",Motor octane number,
81.5,9.3284,train,"[15, 1]","[0.74, 0.26]",Motor octane number,
86.7,10.8953,train,"[10, 15, 1]","[0.517, 0.337, 0.146]",Motor octane number,
66.3766,8.5457,train,"[19, 1, 55]","[0.40212699999999996, 0.506927, 0.090946]",Motor octane number,
86.0946,11.7545,test,"[110, 1, 55]","[0.410485, 0.117045, 0.47247]",Motor octane number,
86.1,6.6304,train,"[255, 114, 8, 87, 333, 276, 9, 86, 111, 57, 82, 107, 10, 245, 127, 28, 121, 130, 29, 336, 0, 15, 17, 79, 19, 43, 96, 109, 47, 16, 54, 246, 348, 349, 350, 81, 60, 110, 117, 214, 84, 2, 326, 1, 362, 66, 152, 283, 363, 364, 365, 294, 301, 366, 367, 368, 369, 370, 371, 372, 373, 137, 281, 374, 129, 375, 310, 376, 377, 102, 378, 106, 275, 304, 125, 302, 298, 379, 12, 380, 13]","[0.036000000000000004, 0.006826, 0.004507, 0.005024999999999999, 0.002398, 0.004587, 0.033353, 0.018905, 0.011113999999999999, 0.015453, 0.014846, 0.015423, 0.08804000000000001, 0.002308, 0.005423, 0.007632, 0.028428, 0.004617, 0.001552, 0.004896, 0.00402, 0.035831, 0.005512, 0.013781000000000002, 0.005333, 0.016944999999999998, 0.020318, 0.026168999999999998, 0.020229, 0.08867699999999999, 0.016697, 0.005284, 0.006169, 0.003075, 0.003891, 0.075323, 0.00799, 0.002687, 0.005443, 0.0029449999999999997, 0.0032240000000000003, 0.102448, 0.0025169999999999997, 0.01201, 0.001801, 0.02994, 0.001771, 0.006279, 0.056845999999999994, 0.001751, 0.0017410000000000001, 0.003095, 0.001692, 0.002408, 0.00194, 0.0036420000000000003, 0.002667, 0.003582, 0.003861, 0.005234, 0.001154, 0.0032340000000000003, 0.002836, 0.002378, 0.0016220000000000002, 0.00197, 0.003015, 0.007851, 0.004378, 0.001373, 0.0028060000000000003, 0.003174, 0.006338, 0.012209000000000001, 0.0065569999999999995, 0.0019500000000000001, 0.00208, 0.0034029999999999998, 0.0014030000000000002, 0.0014030000000000002, 0.0027660000000000002]",Motor octane number,
76.9674,6.7725,train,"[344, 260, 108]","[0.40401600000000004, 0.409674, 0.18631]",Motor octane number,
84.1,8.2938,train,"[255, 114, 8, 87, 333, 334, 335, 276, 9, 305, 86, 111, 57, 82, 107, 10, 127, 28, 195, 130, 29, 104, 336, 341, 342, 345, 0, 15, 17, 79, 19, 43, 96, 69, 109, 47, 16, 54, 312, 246, 328, 348, 350, 351, 352, 353, 354, 81, 60, 110, 117, 233, 277, 84, 99, 326, 268, 360, 361, 381, 232, 1, 66, 152, 137, 281, 374, 129, 310, 376, 377, 102, 106, 275, 304, 125, 302, 298, 379, 12, 13, 243, 173, 201, 382, 172, 383, 270, 331, 138, 188, 200, 384, 385, 386, 387, 388, 307, 389, 390, 234, 157, 391, 392, 393, 394, 181, 395, 396, 53, 23, 397, 155, 398, 399, 400, 401, 402, 403, 404, 309]","[0.052097, 0.015266, 0.014702, 0.0032069999999999998, 0.001108, 0.002431, 0.001971, 0.067807, 0.0026190000000000002, 0.008742, 0.038333, 0.025071, 0.005101, 0.020101, 0.020142000000000004, 0.002405, 0.002761, 0.0042120000000000005, 0.003602, 0.01065, 0.004015, 0.010360000000000001, 0.0014039999999999999, 0.003886, 0.005608999999999999, 0.0012839999999999998, 0.006952000000000001, 0.039108000000000004, 0.001371, 0.033813, 0.01467, 0.016842, 0.016214, 0.006725, 0.008690999999999999, 0.002533, 0.026615000000000003, 0.005504, 0.00462, 0.005183, 0.006014, 0.0060550000000000005, 0.003306, 0.004887, 0.003755, 0.005151, 0.0014169999999999999, 0.001727, 0.01789, 0.003921, 0.01169, 0.002011, 0.013405, 0.0014269999999999999, 0.00179, 0.003536, 0.001548, 0.006135000000000001, 0.00503, 0.006047, 0.002672, 0.010206, 0.007026, 0.00232, 0.005137, 0.005947, 0.003948, 0.003677, 0.001, 0.004357, 0.002438, 0.001956, 0.0038, 0.002724, 0.007901, 0.001143, 0.002785, 0.005627, 0.003025, 0.000987, 0.003104, 0.001256, 0.010459000000000001, 0.0026479999999999997, 0.0021190000000000002, 0.00479, 0.0010090000000000001, 0.002209, 0.002849, 0.001176, 0.0010789999999999999, 0.002226, 0.0011250000000000001, 0.002908, 0.001547, 0.00149, 0.00532, 0.0018440000000000002, 0.002072, 0.00157, 0.001095, 0.001151, 0.00344, 0.001057, 0.001072, 0.005848, 0.00101, 0.001087, 0.001086, 0.004022, 0.0024749999999999998, 0.0013800000000000002, 0.00203, 0.0018410000000000002, 0.001709, 0.0016339999999999998, 0.0018509999999999998, 0.000993, 0.001298, 0.0015170000000000001, 0.2]",Motor octane number,
68.0705,8.2396,train,"[114, 8, 344, 108]","[0.389902, 0.186604, 0.337125, 0.086369]",Motor octane number,
74.6,7.9131,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 309, 74]","[0.003649, 0.012774, 0.012282, 0.018264, 0.003811, 0.010098000000000001, 0.006588, 0.00639, 0.001862, 0.0015509999999999999, 0.008480999999999999, 0.0018559999999999998, 0.0007620000000000001, 0.00046, 0.000931, 0.000807, 0.0035730000000000002, 0.000388, 0.001212, 0.000654, 0.0009170000000000001, 0.000879, 0.000357, 0.9, 0.001454]",Motor octane number,
91.7,10.8161,train,"[10, 15, 2, 1]","[0.6534, 0.135, 0.1, 0.1116]",Motor octane number,
